AJ Cunningham
Abdul-Kareem Al-Selwady
Abus Magomedov
Adam Fugitt
Adilet Nurmatov
Adrian Yanez
Agulali
Ahejiang Ailinuer
Aiemann Zahabi
Ailin Perez
Al Iaquinta
Alatengheili
Albert Tadevosyan
Alberto Montes
Aleksandar Rakic
Aleksandre Topuria
Alessandro Costa
Alex Caceres
Alex Morono
Alex Pereira
Alex Perez
Alex Reyes
Alexa Grasso
Alexander Hernandez
Alexander Volkanovski
Alexander Volkov
Alexandre Pantoja
Alexia Thainara
Aliaskhab Khizriev
Alice Ardelean
Aljamain Sterling
Allan Nascimento
Alonzo Menifield
Amanda Lemos
Amanda Ribas
Amir Albazi
Andre Fili
Andre Lima
Andre Muniz
Andre Petroski
Andreas Gustafsson
Andrey Pulyaev
Ange Loosa
Angel Pacheco
Angela Hill
Anshul Jubli
Anthony Hernandez
Antonio Trocoli
Aoriqileng
Ariane Carnelossi
Ariane da Silva
Arisa Matsuda
Arman Tsarukyan
Arnold Allen
Asu Almabayev
Ateba Gautier
Austen Lane
Austin Bashi
Austin Hubbard
Austin Vanderford
Azamat Bekoev
Azamat Murzakanov
Azat Maksum
Aziz Khaydarov
Baergeng Jieleyisi
Bassil Hafez
Bekzat Almakhan
Belal Muhammad
Benardo Sopaj
Beneil Dariush
Benoit Saint Denis
Billy Elekana
Billy Quarantillo
Billy Ray Goff
Bo Nickal
Bogdan Grad
Bogdan Guskov
Bolaji Oki
Brad Katona
Brad Riddell
Brady Hiestand
Brandon Moreno
Brandon Royval
Brendan Allen
Brendson Ribeiro
Brian Ortega
Brogan Walker
Bruna Brasil
Brunno Ferreira
Bruno Silva
Bruno Lopes
Bryan Battle
Bryce Mitchell
Caio Borralho
Calvin Kattar
Cameron Saaiman
Cameron Smotherman
Carli Judice
Carlos Leal
Carlos Prates
Carlos Ulberg
Carlos Vera
Carlston Harris
Casey O'Neill
Cesar Almeida
Chad Anheliger
ChangHo Lee
ChangMin Yoon
Charles Johnson
Charles Jourdain
Charles Oliveira
Charles Radtke
Charlie Campbell
Chase Hooper
Chelsea Chandler
Chepe Mariscal
Cheyanne Vlismas
Chidi Njokuani
Chris Barnett
Chris Curtis
Chris Duncan
Chris Gutierrez
Chris Padilla
Christian Leroy Duncan
Christian Rodriguez
Ciryl Gane
Claudio Puelles
Clayton Carpenter
Cody Brundage
Cody Durden
Cody Garbrandt
Cody Gibson
Cody Haddon
Colby Covington
Colby Thicknesse
Connor Matthews
Conor McGregor
Cory Sandhagen
Court McGee
Cristian Quinonez
Cub Swanson
Curtis Blaydes
Da'Mon Blackshear
Daichi Kamiya
Damir Hadzovic
Dan Hooker
Dan Ige
Daniel Barez
Daniel Frunza
Daniel Marcos
Daniel Rodriguez
Daniel Santos
Daniel Zellhuber
Danny Barlow
Danny Silva
Daria Zhelezniakova
Darren Elkins
Darrius Flowers
Davey Grant
David Martinez
David Onama
David Teymur
Deiveson Figueiredo
Deni Daffa
Denise Gomes
Dennis Buzukja
Derrick Lewis
Diego Ferreira
Diego Lopes
Dione Barbosa
Diyar Nurgozhay
Djorden Santos
Dominic Mar Fan
Dominick Reyes
DongHun Choi
DongHyun Seo
Dooho Choi
Drakkar Klose
Drew Dober
Dricus Du Plessis
Dusko Todorovic
Dustin Jacoby
Dustin Poirier
Dustin Stoltzfus
Edgar Chairez
Edmen Shahbazyan
Edson Barboza
Eduarda Moura
Elijah Smith
Elise Reed
Elizeu dos Santos
Elves Brener
EoJin Park
Eric McConico
Erik Silva
Erin Blanchfield
Ernesta Kareckaite
Eryk Anders
Esteban Ribovics
Evan Elder
Fares Ziam
Farid Basharat
Fatima Kline
Felipe Bunes
Felipe Lima
Felipe dos Santos
Feng Xiaocan
Fernando Padilla
Francis Marshall
Francisco Prado
Frankie Saenz
Gabe Green
Gabriel Bonfim
Gabriel Santos
Gabriella Fernandes
Garrett Armfield
Gaston Bolanos
Gauge Young
Gavin Tucker
Geoff Neal
Gerald Meerschaert
Giga Chikadze
Gilbert Burns
Gilbert Urbina
Gillian Robertson
Grant Dawson
Gregory Rodrigues
Gunnar Nelson
Hailey Cowan
Hakeem Dawodu
Hamdy Abdelwahab
Henry Cejudo
Hyder Amil
HyunSung Park
Ian Machado Garry
Iasmin Lucindo
Ibo Aslan
Ignacio Bahamondes
Ikram Aliskerov
Ilia Topuria
Ion Cutelaba
Irene Aldana
Irina Alekseeva
Isaac Dulgarian
Islam Dulatov
Islam Makhachev
Ismael Bonfim
Ismail Naurdiev
Israel Adesanya
Ivan Erslan
